Segment,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost
Corporate,Miami,Florida,Technology,Phones,783.96,5,0.2,78.396,705.5640000000001
Consumer,Salem,Oregon,Office Supplies,Art,7.88,1,0.2,1.773,6.107
Consumer,Las Cruces,New Mexico,Furniture,Furnishings,41.37,3,0.0,17.3754,23.9946
Consumer,San Francisco,California,Office Supplies,Paper,12.84,3,0.0,5.778,7.062
Consumer,San Francisco,California,Office Supplies,Paper,25.68,6,0.0,11.556,14.124
Consumer,El Paso,Texas,Furniture,Chairs,47.516,2,0.3,-2.0364,49.5524
Consumer,Seattle,Washington,Office Supplies,Fasteners,9.42,2,0.0,0.471,8.949
Consumer,Seattle,Washington,Office Supplies,Paper,12.96,2,0.0,6.2208,6.739200000000001
Consumer,Seattle,Washington,Furniture,Bookcases,704.9,5,0.0,56.392,648.5079999999999
Consumer,Seattle,Washington,Furniture,Chairs,561.568,2,0.2,28.0784,533.4896
Home Office,Milwaukee,Wisconsin,Office Supplies,Paper,179.82,9,0.0,84.5154,95.3046
Home Office,Milwaukee,Wisconsin,Furniture,Furnishings,185.58,6,0.0,76.0878,109.49220000000001
Home Office,Milwaukee,Wisconsin,Furniture,Tables,214.11,3,0.0,36.3987,177.71130000000002
Home Office,Milwaukee,Wisconsin,Technology,Accessories,999.96,4,0.0,229.9908,769.9692
Home Office,Milwaukee,Wisconsin,Furniture,Tables,653.55,3,0.0,111.1035,542.4465
Home Office,Franklin,Massachusetts,Office Supplies,Binders,114.6,5,0.0,51.57,63.029999999999994
Home Office,Franklin,Massachusetts,Furniture,Chairs,60.74,1,0.0,15.185,45.555
Home Office,Franklin,Massachusetts,Furniture,Furnishings,124.36,2,0.0,27.3592,97.0008
Home Office,Franklin,Massachusetts,Office Supplies,Storage,1088.76,6,0.0,315.7404,773.0196
Consumer,Encinitas,California,Office Supplies,Binders,6.72,5,0.2,2.352,4.368
Consumer,Encinitas,California,Furniture,Tables,298.776,3,0.2,7.4694,291.3066
Consumer,Anaheim,California,Technology,Phones,302.376,3,0.2,22.6782,279.6978
Consumer,Arlington,Texas,Office Supplies,Art,8.928,2,0.2,0.558,8.370000000000001
Consumer,Arlington,Texas,Office Supplies,Storage,47.584,2,0.2,-2.974,50.55800000000001
Home Office,Houston,Texas,Office Supplies,Paper,33.792,8,0.2,10.56,23.232
Home Office,Houston,Texas,Furniture,Bookcases,300.5328,2,0.32,-97.2312,397.764
Home Office,Houston,Texas,Office Supplies,Binders,2.724,2,0.8,-4.3584,7.0824
Home Office,Houston,Texas,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2.1624
Consumer,Lancaster,Ohio,Office Supplies,Paper,108.336,6,0.2,37.9176,70.41839999999999
Consumer,Lancaster,Ohio,Office Supplies,Storage,55.92,5,0.2,6.291,49.629000000000005
Consumer,Lancaster,Ohio,Office Supplies,Paper,78.304,2,0.2,29.364,48.94
Consumer,Portland,Oregon,Office Supplies,Storage,443.92,5,0.2,-94.333,538.253
Consumer,Portland,Oregon,Technology,Phones,155.976,3,0.2,54.5916,101.3844
Corporate,Hoover,Alabama,Office Supplies,Art,15.47,7,0.0,4.1769,11.2931
Corporate,Hoover,Alabama,Office Supplies,Binders,7.16,2,0.0,3.4368,3.7232000000000003
Consumer,Los Angeles,California,Office Supplies,Appliances,10.89,1,0.0,2.8314,8.0586
Consumer,Los Angeles,California,Office Supplies,Paper,19.44,3,0.0,9.3312,10.1088
Consumer,Los Angeles,California,Office Supplies,Binders,121.6,5,0.2,39.52,82.07999999999998
Consumer,Tallahassee,Florida,Technology,Machines,695.7,2,0.5,-27.828,723.528
Corporate,New York City,New York,Office Supplies,Storage,120.33,1,0.0,31.2858,89.0442
Home Office,Chesapeake,Virginia,Furniture,Chairs,1139.92,4,0.0,284.98,854.94
Consumer,Fayetteville,North Carolina,Office Supplies,Paper,229.544,7,0.2,83.2097,146.3343
Consumer,Huntsville,Texas,Office Supplies,Storage,143.728,2,0.2,-32.3388,176.0668
Consumer,Philadelphia,Pennsylvania,Technology,Accessories,36.048,3,0.2,-0.9012,36.949200000000005
Corporate,Woodstock,Illinois,Furniture,Chairs,845.488,8,0.3,-12.0784,857.5664
Consumer,Everett,Massachusetts,Office Supplies,Art,50.94,3,0.0,14.2632,36.6768
Home Office,Chicago,Illinois,Office Supplies,Binders,762.594,3,0.8,-1143.891,1906.4850000000001
Corporate,Roswell,Georgia,Furniture,Furnishings,56.28,6,0.0,15.7584,40.5216
Corporate,Roswell,Georgia,Office Supplies,Binders,2690.97,3,0.0,1264.7559,1426.2140999999997
Corporate,Palm Coast,Florida,Office Supplies,Binders,7.434,6,0.7,-5.6994,13.1334
Corporate,Philadelphia,Pennsylvania,Office Supplies,Storage,64.784,1,0.2,-12.9568,77.74080000000001
Home Office,Columbus,Indiana,Office Supplies,Paper,28.16,4,0.0,13.2352,14.9248
Consumer,Oceanside,New York,Furniture,Furnishings,14.98,1,0.0,6.8908,8.089200000000002
Consumer,Oceanside,New York,Furniture,Furnishings,20.32,4,0.0,6.9088,13.411200000000001
Corporate,Franklin,Massachusetts,Office Supplies,Storage,40.29,3,0.0,10.4754,29.8146
Consumer,Sioux Falls,South Dakota,Office Supplies,Labels,20.23,7,0.0,9.5081,10.7219
Corporate,San Diego,California,Furniture,Chairs,1603.136,4,0.2,100.196,1502.94
Consumer,Fayetteville,North Carolina,Furniture,Chairs,225.296,2,0.2,22.5296,202.7664
Consumer,Atlanta,Georgia,Technology,Accessories,67.8,4,0.0,4.068,63.732
Consumer,Atlanta,Georgia,Technology,Phones,377.97,3,0.0,98.2722,279.69780000000003
Consumer,Atlanta,Georgia,Furniture,Bookcases,1628.82,9,0.0,374.6286,1254.1914
Consumer,Atlanta,Georgia,Office Supplies,Paper,286.93,7,0.0,140.5957,146.3343
Consumer,Orlando,Florida,Office Supplies,Paper,20.736,4,0.2,7.2576,13.4784
Consumer,San Francisco,California,Office Supplies,Storage,31.44,3,0.0,8.4888,22.9512
Consumer,San Francisco,California,Office Supplies,Appliances,83.79,7,0.0,22.6233,61.166700000000006
Consumer,San Francisco,California,Office Supplies,Art,59.52,3,0.0,15.4752,44.0448
Consumer,San Francisco,California,Office Supplies,Supplies,31.92,4,0.0,9.2568,22.663200000000003
Consumer,Toledo,Ohio,Office Supplies,Supplies,14.72,5,0.2,-3.312,18.032
Consumer,Toledo,Ohio,Office Supplies,Storage,38.976,3,0.2,-2.436,41.412
Consumer,Saint Petersburg,Florida,Furniture,Furnishings,17.088,2,0.2,1.068,16.02
Corporate,Tucson,Arizona,Office Supplies,Paper,74.352,3,0.2,23.235,51.117000000000004
Corporate,Tucson,Arizona,Furniture,Chairs,314.352,3,0.2,-35.3646,349.71659999999997
Consumer,Los Angeles,California,Office Supplies,Art,4.26,1,0.0,1.7466,2.5134
Consumer,San Diego,California,Office Supplies,Storage,811.28,8,0.0,24.3384,786.9416
Consumer,New York City,New York,Office Supplies,Fasteners,6.03,3,0.0,2.9547,3.0753000000000004
Consumer,San Diego,California,Furniture,Chairs,153.568,2,0.2,-5.7588,159.32680000000002
Consumer,San Diego,California,Furniture,Chairs,1013.488,7,0.2,76.0116,937.4764
Home Office,Westfield,New Jersey,Office Supplies,Envelopes,52.34,2,0.0,24.5998,27.740200000000005
Home Office,Westfield,New Jersey,Office Supplies,Art,4.66,2,0.0,1.3514,3.3086
Home Office,Westfield,New Jersey,Technology,Accessories,254.97,3,0.0,91.7892,163.1808
Home Office,Orange,New Jersey,Office Supplies,Binders,25.44,6,0.0,12.72,12.72
Home Office,Orange,New Jersey,Office Supplies,Supplies,27.93,3,0.0,8.0997,19.8303
Consumer,Woodstock,Illinois,Office Supplies,Binders,8.85,5,0.8,-13.7175,22.5675
Consumer,San Francisco,California,Furniture,Furnishings,6.96,4,0.0,2.2272,4.7328
Consumer,San Francisco,California,Office Supplies,Binders,17.456,2,0.2,5.8914,11.564599999999999
Consumer,Tempe,Arizona,Furniture,Chairs,307.92,5,0.2,-34.641,342.56100000000004
Consumer,Los Angeles,California,Office Supplies,Art,6.63,3,0.0,1.7901,4.8399
Consumer,Los Angeles,California,Office Supplies,Paper,12.96,2,0.0,6.2208,6.739200000000001
Consumer,Los Angeles,California,Office Supplies,Paper,32.4,5,0.0,15.552,16.848
Corporate,Seattle,Washington,Office Supplies,Paper,23.85,5,0.0,10.7325,13.117500000000001
Consumer,Lake Charles,Louisiana,Furniture,Chairs,51.96,2,0.0,12.99,38.97
Consumer,Lake Charles,Louisiana,Office Supplies,Binders,17.94,3,0.0,8.6112,9.328800000000001
Corporate,Rochester,New York,Office Supplies,Paper,11.56,2,0.0,5.6644,5.895600000000001
Corporate,Rochester,New York,Office Supplies,Paper,26.4,5,0.0,11.88,14.519999999999998
Corporate,Rochester,New York,Furniture,Furnishings,69.08,11,0.0,29.0136,40.0664
Corporate,Rochester,New York,Technology,Phones,35.88,3,0.0,10.0464,25.833600000000004
Consumer,Long Beach,New York,Office Supplies,Art,49.65,5,0.0,20.853,28.796999999999997
Corporate,Charlotte,North Carolina,Technology,Copiers,959.968,4,0.2,119.996,839.972
Consumer,Houston,Texas,Furniture,Chairs,408.422,2,0.3,-5.8346,414.25660000000005
Consumer,New York City,New York,Technology,Copiers,479.984,2,0.2,59.998,419.986
Consumer,New York City,New York,Office Supplies,Labels,12.6,4,0.0,6.048,6.552
Home Office,Columbus,Georgia,Office Supplies,Paper,184.66,7,0.0,84.9436,99.7164
Consumer,Chicago,Illinois,Office Supplies,Paper,23.12,5,0.2,8.381,14.739
Corporate,Highland Park,Illinois,Office Supplies,Paper,37.464,7,0.2,12.1758,25.288199999999996
Corporate,Highland Park,Illinois,Furniture,Chairs,539.658,3,0.3,-7.7094,547.3674
Home Office,Seattle,Washington,Office Supplies,Storage,310.12,2,0.0,80.6312,229.4888
Consumer,Eagan,Minnesota,Office Supplies,Paper,8.56,2,0.0,3.852,4.708
Consumer,Eagan,Minnesota,Office Supplies,Storage,52.4,5,0.0,14.148,38.251999999999995
Consumer,Eagan,Minnesota,Office Supplies,Labels,14.94,3,0.0,6.8724,8.067599999999999
Consumer,Seattle,Washington,Office Supplies,Fasteners,11.22,3,0.0,0.2244,10.995600000000001
Consumer,Coral Springs,Florida,Office Supplies,Appliances,387.136,4,0.2,24.196,362.94
Consumer,Hempstead,New York,Office Supplies,Envelopes,41.4,5,0.0,19.458,21.942
Consumer,Hempstead,New York,Office Supplies,Art,35.0,4,0.0,10.5,24.5
Consumer,Hempstead,New York,Office Supplies,Binders,39.552,3,0.2,14.3376,25.214399999999998
Consumer,Noblesville,Indiana,Technology,Phones,135.72,3,0.0,35.2872,100.4328
Consumer,Noblesville,Indiana,Office Supplies,Binders,12.56,2,0.0,5.652,6.908
Consumer,Noblesville,Indiana,Technology,Phones,263.96,4,0.0,71.2692,192.69079999999997
Consumer,Dallas,Texas,Office Supplies,Art,5.952,1,0.2,0.372,5.58
Corporate,Philadelphia,Pennsylvania,Office Supplies,Fasteners,15.8,5,0.2,2.37,13.43
Corporate,Philadelphia,Pennsylvania,Furniture,Furnishings,14.368,2,0.2,3.9512,10.4168
Corporate,Philadelphia,Pennsylvania,Furniture,Furnishings,70.448,7,0.2,12.3284,58.11959999999999
Consumer,San Francisco,California,Office Supplies,Storage,129.3,2,0.0,6.465,122.83500000000001
Home Office,Austin,Texas,Office Supplies,Binders,3.882,3,0.8,-5.823,9.705
Corporate,Detroit,Michigan,Office Supplies,Fasteners,6.08,1,0.0,3.04,3.04
Consumer,Watertown,New York,Office Supplies,Appliances,19.9,1,0.0,8.955,10.944999999999999
Consumer,Watertown,New York,Furniture,Furnishings,70.71,1,0.0,4.9497,65.7603
Consumer,Columbus,Georgia,Furniture,Furnishings,18.84,3,0.0,7.9128,10.9272
Consumer,Apple Valley,Minnesota,Office Supplies,Art,8.64,3,0.0,2.5056,6.134400000000001
Home Office,Burlington,North Carolina,Office Supplies,Binders,1633.188,4,0.7,-1306.5504,2939.7384
Home Office,Saginaw,Michigan,Furniture,Furnishings,19.76,4,0.0,8.2992,11.4608
Consumer,San Francisco,California,Office Supplies,Binders,6.608,2,0.2,2.2302,4.3778
Consumer,San Francisco,California,Office Supplies,Binders,7.28,2,0.2,2.73,4.550000000000001
Consumer,San Francisco,California,Furniture,Chairs,144.784,1,0.2,10.8588,133.9252
Consumer,Seattle,Washington,Technology,Phones,156.792,1,0.2,13.7193,143.0727
Consumer,Seattle,Washington,Technology,Phones,431.976,3,0.2,26.9985,404.9775
Consumer,Seattle,Washington,Office Supplies,Envelopes,35.89,1,0.0,16.1505,19.7395
Consumer,Seattle,Washington,Office Supplies,Binders,47.208,7,0.2,15.3426,31.8654
Consumer,Seattle,Washington,Office Supplies,Paper,248.08,7,0.0,116.5976,131.4824
Consumer,Seattle,Washington,Office Supplies,Paper,189.7,5,0.0,89.159,100.54099999999998
Consumer,Seattle,Washington,Office Supplies,Binders,59.808,3,0.2,19.4376,40.370400000000004
Corporate,Milwaukee,Wisconsin,Furniture,Chairs,90.99,1,0.0,14.5584,76.43159999999999
Corporate,Milwaukee,Wisconsin,Furniture,Chairs,1526.56,7,0.0,427.4368,1099.1232
Corporate,Milwaukee,Wisconsin,Furniture,Chairs,368.97,3,0.0,40.5867,328.3833
Consumer,Los Angeles,California,Office Supplies,Storage,305.01,9,0.0,76.2525,228.7575
Consumer,Los Angeles,California,Furniture,Furnishings,18.7,1,0.0,7.106,11.594
Consumer,San Francisco,California,Furniture,Furnishings,38.29,7,0.0,16.4647,21.8253
Home Office,San Diego,California,Furniture,Furnishings,26.25,3,0.0,11.025,15.225
Home Office,San Diego,California,Office Supplies,Binders,64.96,14,0.2,22.736,42.22399999999999
Home Office,San Diego,California,Office Supplies,Envelopes,43.7,5,0.0,20.539,23.161
Home Office,Glendale,Arizona,Technology,Accessories,41.6,4,0.2,13.0,28.6
Home Office,Glendale,Arizona,Office Supplies,Paper,23.12,5,0.2,8.381,14.739
Home Office,Glendale,Arizona,Furniture,Chairs,113.888,2,0.2,9.9652,103.92280000000001
Home Office,Glendale,Arizona,Furniture,Furnishings,113.568,2,0.2,-5.6784,119.2464
Home Office,Glendale,Arizona,Technology,Phones,7.92,2,0.2,0.693,7.227
Home Office,Glendale,Arizona,Technology,Phones,671.984,2,0.2,50.3988,621.5852
Corporate,New York City,New York,Technology,Phones,39.99,1,0.0,11.5971,28.392900000000004
Home Office,Watertown,New York,Furniture,Chairs,191.646,3,0.1,31.941,159.70499999999998
Consumer,Springfield,Ohio,Office Supplies,Binders,2.313,1,0.7,-1.9275,4.2405
Consumer,Los Angeles,California,Office Supplies,Binders,19.936,4,0.2,7.2268,12.7092
Consumer,Los Angeles,California,Office Supplies,Fasteners,45.92,4,0.0,21.5824,24.337600000000002
Home Office,Seattle,Washington,Office Supplies,Paper,20.34,3,0.0,9.3564,10.9836
Home Office,Seattle,Washington,Office Supplies,Labels,39.28,8,0.0,19.2472,20.0328
Corporate,Oceanside,California,Furniture,Chairs,81.568,2,0.2,9.1764,72.3916
Corporate,Oceanside,California,Furniture,Chairs,97.184,2,0.2,6.074,91.11
Corporate,Oceanside,California,Office Supplies,Binders,24.32,5,0.2,8.208,16.112000000000002
Corporate,Oceanside,California,Furniture,Furnishings,18.96,2,0.0,7.584,11.376000000000001
Consumer,Skokie,Illinois,Furniture,Furnishings,32.952,6,0.6,-19.7712,52.7232
Consumer,Skokie,Illinois,Office Supplies,Storage,30.016,4,0.2,3.0016,27.0144
Consumer,Fayetteville,North Carolina,Office Supplies,Appliances,499.584,3,0.2,43.7136,455.8704
Consumer,Fayetteville,North Carolina,Office Supplies,Paper,31.104,6,0.2,10.8864,20.217599999999997
Consumer,Fayetteville,North Carolina,Office Supplies,Binders,13.272,8,0.7,-10.6176,23.8896
Consumer,Fayetteville,North Carolina,Furniture,Furnishings,28.272,2,0.2,6.3612,21.9108
Consumer,Fayetteville,North Carolina,Office Supplies,Storage,259.136,4,0.2,-51.8272,310.96320000000003
Consumer,Tulsa,Oklahoma,Office Supplies,Binders,10.8,5,0.0,5.184,5.6160000000000005
Consumer,Allen,Texas,Furniture,Tables,244.006,2,0.3,-31.3722,275.3782
Consumer,Allen,Texas,Office Supplies,Paper,15.936,4,0.2,5.3784,10.5576
Corporate,Philadelphia,Pennsylvania,Furniture,Chairs,188.552,7,0.3,-2.6936,191.2456
Consumer,Rochester,New York,Office Supplies,Storage,22.58,2,0.0,5.8708,16.7092
Consumer,Mount Pleasant,South Carolina,Furniture,Chairs,545.94,6,0.0,87.3504,458.5896000000001
Consumer,Philadelphia,Pennsylvania,Office Supplies,Paper,20.736,4,0.2,7.2576,13.4784
Consumer,Philadelphia,Pennsylvania,Furniture,Furnishings,43.296,2,0.2,4.3296,38.9664
Consumer,Seattle,Washington,Furniture,Chairs,123.136,4,0.2,13.8528,109.2832
Consumer,Seattle,Washington,Office Supplies,Binders,11.264,4,0.2,3.8016,7.462399999999999
Consumer,Springfield,Oregon,Office Supplies,Storage,53.424,3,0.2,4.6746,48.7494
Consumer,Springfield,Oregon,Furniture,Tables,275.49,1,0.5,-170.8038,446.29380000000003
Home Office,Columbus,Georgia,Furniture,Furnishings,24.96,4,0.0,6.24,18.72
Home Office,Columbus,Georgia,Office Supplies,Paper,19.36,2,0.0,9.2928,10.0672
Home Office,Columbus,Georgia,Office Supplies,Storage,1267.65,9,0.0,152.118,1115.5320000000002
Corporate,Los Angeles,California,Technology,Accessories,12.99,1,0.0,0.7794,12.2106
Corporate,Los Angeles,California,Office Supplies,Binders,18.56,4,0.2,6.496,12.063999999999998
Corporate,Los Angeles,California,Office Supplies,Storage,449.15,5,0.0,8.983,440.167
Corporate,Los Angeles,California,Office Supplies,Binders,31.248,7,0.2,10.9368,20.3112
Corporate,New York City,New York,Office Supplies,Appliances,61.44,3,0.0,16.5888,44.8512
Consumer,Detroit,Michigan,Office Supplies,Binders,895.92,4,0.0,421.0824,474.83759999999995
Consumer,Stockton,California,Office Supplies,Binders,55.36,4,0.2,18.684,36.676
Consumer,Phoenix,Arizona,Office Supplies,Storage,55.92,5,0.2,6.291,49.629000000000005
Consumer,Philadelphia,Pennsylvania,Office Supplies,Envelopes,24.896,4,0.2,8.4024,16.4936
Consumer,Philadelphia,Pennsylvania,Furniture,Furnishings,3.984,1,0.2,0.6474,3.3366
Consumer,Philadelphia,Pennsylvania,Technology,Accessories,95.968,4,0.2,28.7904,67.1776
Consumer,Philadelphia,Pennsylvania,Technology,Machines,206.991,3,0.7,-172.4925,379.48350000000005
Consumer,Philadelphia,Pennsylvania,Office Supplies,Appliances,44.416,2,0.2,3.8864,40.529599999999995
Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,9.006,2,0.7,-7.2048,16.2108
Home Office,Sterling Heights,Michigan,Office Supplies,Binders,19.0,5,0.0,8.93,10.07
Home Office,Rochester,New York,Office Supplies,Binders,33.376,4,0.2,10.43,22.945999999999998
Home Office,New York City,New York,Office Supplies,Appliances,207.48,1,0.0,62.244,145.236
Home Office,Eau Claire,Wisconsin,Office Supplies,Binders,91.68,3,0.0,45.84,45.84
Consumer,New York City,New York,Office Supplies,Appliances,904.9,5,0.0,253.372,651.528
Consumer,Rancho Cucamonga,California,Office Supplies,Binders,34.272,3,0.2,11.1384,23.133599999999998
Consumer,Murray,Kentucky,Furniture,Furnishings,191.82,3,0.0,74.8098,117.0102
Corporate,Toledo,Ohio,Office Supplies,Appliances,243.88,5,0.2,27.4365,216.4435
Home Office,Louisville,Colorado,Office Supplies,Binders,12.03,5,0.7,-9.223,21.253
Home Office,Louisville,Colorado,Technology,Machines,2549.985,5,0.7,-3399.98,5949.965
Home Office,Louisville,Colorado,Office Supplies,Binders,21.594,2,0.7,-15.8356,37.4296
Home Office,Louisville,Colorado,Office Supplies,Binders,8.964,6,0.7,-6.5736,15.537600000000001
Home Office,Louisville,Colorado,Office Supplies,Paper,20.736,4,0.2,7.2576,13.4784
Home Office,New York City,New York,Furniture,Tables,344.22,2,0.4,-103.266,447.48600000000005
Home Office,Pharr,Texas,Office Supplies,Storage,727.296,8,0.2,-172.7328,900.0288
Home Office,Pharr,Texas,Furniture,Furnishings,22.608,3,0.6,-10.1736,32.7816
Home Office,Pharr,Texas,Technology,Accessories,666.4,7,0.2,-33.32,699.72
Consumer,West Jordan,Utah,Office Supplies,Fasteners,5.04,3,0.0,0.2016,4.8384
Consumer,West Jordan,Utah,Office Supplies,Paper,92.94,3,0.0,41.823,51.117
Consumer,West Jordan,Utah,Furniture,Furnishings,66.69,3,0.0,22.0077,44.6823
Consumer,West Jordan,Utah,Office Supplies,Binders,91.68,5,0.2,28.65,63.03000000000001
Consumer,Brownsville,Texas,Furniture,Bookcases,327.7328,2,0.32,-14.4588,342.1916
Consumer,New York City,New York,Office Supplies,Binders,52.272,11,0.2,17.6418,34.6302
Consumer,New York City,New York,Office Supplies,Paper,17.94,3,0.0,8.073,9.867
Home Office,Philadelphia,Pennsylvania,Furniture,Furnishings,254.352,3,0.2,0.0,254.352
Corporate,Billings,Montana,Office Supplies,Binders,8.288,2,0.2,2.6936,5.5944
Consumer,Chesapeake,Virginia,Furniture,Chairs,504.9,5,0.0,80.784,424.116
Corporate,Gresham,Oregon,Technology,Phones,403.168,4,0.2,25.198,377.97
Corporate,Lincoln Park,Michigan,Furniture,Bookcases,194.32,4,0.0,31.0912,163.22879999999998
Corporate,Lincoln Park,Michigan,Office Supplies,Art,25.99,1,0.0,7.5371,18.4529
Consumer,Gresham,Oregon,Furniture,Chairs,195.136,4,0.2,-12.196,207.332
Home Office,Philadelphia,Pennsylvania,Office Supplies,Paper,20.736,4,0.2,7.2576,13.4784
Consumer,Monroe,Louisiana,Technology,Accessories,53.7,6,0.0,10.203,43.497
Consumer,Monroe,Louisiana,Office Supplies,Binders,36.26,7,0.0,16.6796,19.580399999999997
Consumer,Monroe,Louisiana,Office Supplies,Art,56.3,2,0.0,15.764,40.536
Consumer,Monroe,Louisiana,Office Supplies,Paper,32.4,5,0.0,15.552,16.848
Consumer,Monroe,Louisiana,Furniture,Furnishings,29.16,2,0.0,10.7892,18.370800000000003
Corporate,Pasadena,California,Furniture,Tables,171.288,3,0.2,-6.4233,177.71130000000002
Consumer,Chattanooga,Tennessee,Furniture,Furnishings,16.72,5,0.2,3.344,13.376
Home Office,Long Beach,California,Office Supplies,Paper,12.96,2,0.0,6.2208,6.739200000000001
Home Office,Long Beach,California,Office Supplies,Envelopes,22.18,2,0.0,10.8682,11.3118
Home Office,Long Beach,California,Furniture,Chairs,2054.272,8,0.2,256.784,1797.4879999999998
Consumer,Troy,Ohio,Technology,Phones,1022.97,5,0.4,-255.7425,1278.7125
Home Office,Minneapolis,Minnesota,Office Supplies,Art,13.9,5,0.0,3.614,10.286000000000001
Home Office,Minneapolis,Minnesota,Office Supplies,Paper,26.38,1,0.0,12.1348,14.245199999999999
Consumer,Seattle,Washington,Office Supplies,Binders,43.176,7,0.2,13.4925,29.683500000000002
Home Office,Columbus,Georgia,Furniture,Tables,411.8,2,0.0,70.006,341.794
Home Office,Columbus,Georgia,Technology,Accessories,360.0,4,0.0,129.6,230.4
Home Office,Meridian,Idaho,Furniture,Furnishings,41.96,2,0.0,2.9372,39.022800000000004
Home Office,Meridian,Idaho,Office Supplies,Appliances,227.84,4,0.0,66.0736,161.7664
Home Office,Meridian,Idaho,Office Supplies,Paper,37.94,2,0.0,18.2112,19.728799999999996
Home Office,Detroit,Michigan,Technology,Phones,517.9,2,0.0,134.654,383.246
Home Office,Detroit,Michigan,Office Supplies,Binders,5.28,2,0.0,2.4288,2.8512000000000004
Corporate,Chicago,Illinois,Technology,Copiers,2799.96,5,0.2,874.9875,1924.9725
Corporate,San Francisco,California,Office Supplies,Envelopes,8.96,2,0.0,4.3008,4.659200000000001
Corporate,San Francisco,California,Office Supplies,Labels,31.5,10,0.0,15.12,16.380000000000003
Corporate,San Francisco,California,Furniture,Furnishings,30.56,2,0.0,10.3904,20.1696
Corporate,San Francisco,California,Furniture,Tables,24.368,2,0.2,-3.3506,27.7186
Corporate,Newark,Ohio,Technology,Accessories,119.976,3,0.2,22.4955,97.4805
Consumer,Dallas,Texas,Office Supplies,Paper,26.88,8,0.2,9.744,17.136
Corporate,Newark,Delaware,Technology,Phones,83.97,3,0.0,23.5116,60.4584
Corporate,Newark,Delaware,Technology,Accessories,104.97,3,0.0,7.3479,97.6221
Home Office,Albuquerque,New Mexico,Office Supplies,Storage,90.8,8,0.0,25.424,65.376
Home Office,Albuquerque,New Mexico,Technology,Phones,140.736,8,0.2,49.2576,91.4784
Home Office,Albuquerque,New Mexico,Technology,Accessories,214.95,5,0.0,88.1295,126.8205
Home Office,Albuquerque,New Mexico,Office Supplies,Paper,45.36,7,0.0,21.7728,23.5872
Home Office,Albuquerque,New Mexico,Office Supplies,Paper,288.24,6,0.0,138.3552,149.8848
Home Office,Toledo,Ohio,Office Supplies,Appliances,663.936,4,0.2,82.992,580.9440000000001
Corporate,Newark,Delaware,Office Supplies,Storage,2934.33,7,0.0,792.2691,2142.0609
Corporate,Newark,Delaware,Furniture,Furnishings,124.41,3,0.0,14.9292,109.4808
Corporate,Newark,Delaware,Office Supplies,Art,57.75,5,0.0,26.565,31.185
Consumer,Los Angeles,California,Office Supplies,Storage,114.46,2,0.0,28.615,85.845
Consumer,Los Angeles,California,Furniture,Bookcases,120.666,2,0.15,18.4548,102.21119999999999
Home Office,Dallas,Texas,Office Supplies,Storage,342.864,3,0.2,38.5722,304.29179999999997
Home Office,Dallas,Texas,Furniture,Furnishings,16.74,5,0.6,-14.229,30.968999999999998
Home Office,Dallas,Texas,Furniture,Chairs,981.372,2,0.3,-140.196,1121.568
Home Office,San Diego,California,Office Supplies,Art,31.84,8,0.0,10.5072,21.3328
Home Office,Apple Valley,California,Office Supplies,Paper,12.96,2,0.0,6.2208,6.739200000000001
Home Office,Apple Valley,California,Technology,Phones,43.176,3,0.2,15.1116,28.064400000000003
Home Office,Louisville,Kentucky,Office Supplies,Binders,58.34,2,0.0,28.0032,30.336800000000004
Home Office,Louisville,Kentucky,Technology,Phones,539.97,3,0.0,134.9925,404.9775
Consumer,New York City,New York,Office Supplies,Binders,3.928,1,0.2,1.3257,2.6022999999999996
Consumer,Houston,Texas,Office Supplies,Binders,252.784,4,0.8,-417.0936,669.8776
Consumer,Houston,Texas,Technology,Accessories,127.984,2,0.2,15.998,111.98599999999999
Consumer,Houston,Texas,Furniture,Furnishings,3.984,2,0.6,-2.6892,6.6732
Consumer,Houston,Texas,Office Supplies,Appliances,12.992,2,0.8,-32.48,45.471999999999994
Home Office,Henderson,Kentucky,Furniture,Furnishings,61.0,5,0.0,25.62,35.379999999999995
Home Office,Henderson,Kentucky,Technology,Phones,671.93,7,0.0,188.1404,483.78959999999995
Consumer,Newark,Delaware,Office Supplies,Binders,447.86,7,0.0,219.4514,228.4086
Consumer,Newark,Delaware,Technology,Phones,479.95,5,0.0,129.5865,350.3635
Consumer,Newark,Delaware,Office Supplies,Paper,166.44,3,0.0,79.8912,86.5488
Consumer,Bolingbrook,Illinois,Office Supplies,Supplies,31.68,4,0.2,2.772,28.908
Consumer,Bolingbrook,Illinois,Office Supplies,Paper,10.368,2,0.2,3.6288,6.7392
Consumer,Bolingbrook,Illinois,Office Supplies,Fasteners,12.032,8,0.2,2.256,9.776
Consumer,Bolingbrook,Illinois,Office Supplies,Appliances,5.768,2,0.8,-13.5548,19.3228
Corporate,Fort Worth,Texas,Office Supplies,Labels,33.12,4,0.2,11.592,21.528
Corporate,Fort Worth,Texas,Furniture,Bookcases,220.2656,4,0.32,-42.1096,262.3752
Consumer,New York City,New York,Office Supplies,Binders,10.776,3,0.2,3.5022,7.2738
